,g.id,g.gender,g.age,g.nas,g.province,g.city,g.education,g.occupation,o.indoor,o.outdoor,o.media,o.sports,o.free.offer,o.difficult.quit,o.harm.general,o.harm.water,o.har.fruit.taste,o.work.restriction,o.now.use,n.previous.use,n.why.combined,n.why.choices,n.friend.use,n.meet.friend,n.reaction.family,n.reaction.friend,n.public.indoor.use,n.public.indoor.use.days,n.public.outdoor.use,n.public.outdoor.use.days,n.offer.accept,c.age,c.reason.use.combined,c.reason.use.choices,c.use.quantity,c.morning.affinity,c.light.time,c.hours.affinity,c.which.difficult,c.affinity.sickness,c.where.first,c.how.first,c.enjoy.cigarette,c.restriction.bother,c.effect.increase.friends,c.increases.respect,c.suggest.family.friends,cq.willing.quit,cq.quit.commit,cq.reason.quit.combined,cq.reason.quit.choices,cq.quit.times,cq.quit.interval,cq.last.quit,cq.reason.unsuccessful.quit,cq.quit.methods,cq.quit.negative.combined,cq.quit.negative.choices,cq.ca.quit.again,cq.quit.supporter,h.age,h.main.reason.combined,h.main.reason.choices,h.use.quantity,h.morning.affinity,h.light.time,h.hours.affinity,h.spend.time,h.tobaco.class,h.which.difficult,h.affinity.sickness,h.where.first,h.how.first,h.enjoy.hooka,h.restriction.bother,h.effect.increase.friends,h.increases.respect,h.suggest.family.friends,hq.willing.quit,hq.quit.commit,hq.reason.quit.combined,hq.reason.quit.choices,hq.quit.times,hq.quit.interval,hq.last.quit,hq.reason.unsuccessful.quit,hq.quit.methods,hq.quit.negative.combined,hq.quit.negative.choices,hq.ca.quit.again,hq.quit.supporter,r.shortness,r.productive.cough,r.reduced.capacity,r.respiratory.doctor,r.respiratory.diagnosis,p.p,p.p.code,p.spam,p.date.start,p.date.finish,test.s,test.f,test.len,start.date,start.time,finish.date,finish.time
11,YOGy,M,27,143,اصفهان,چادگان,Masters,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,I can not point out,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I do not know,No,NA,I'm not a questioner,NA,NA,1400/02/20-22:27:41,1400/02/20-22:30:50,1400-02-20 22:27:41,1400-02-20 22:30:50,189,1400/02/20,22:27:41,1400/02/20,22:30:50
12,tVyf,M,31,139,البرز,كوهسار,diplomas,manual worker,No idea,Yes sir,No,No,Yes sir,No,Yes sir,No,"It hurts, but very little",Yes,I do not consume at all,Yes,It is harmful to my health---I am not interested--,2,Yes sir,More than three days a week,I do not care,I can not point out,Yes sir,3 to 4 days ago,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I agree to some extent,No,NA,I'm not a questioner,NA,NA,1400/02/20-19:44:08,1400/02/20-19:50:24,1400-02-20 19:44:08,1400-02-20 19:50:24,376,1400/02/20,19:44:08,1400/02/20,19:50:24
13,NcyV,M,31,140,آذربايجان غربي,مهاباد,Bachelors,Employee,Yes sir,Yes sir,No,Yes sir,No,Yes sir,Yes sir,Yes sir,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Recommended to leave,Recommended to leave,Yes sir,3 to 4 days ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/20-19:25:35,1400/02/20-19:30:09,1400-02-20 19:25:35,1400-02-20 19:30:09,274,1400/02/20,19:25:35,1400/02/20,19:30:09
14,6PLz,M,42,138,گيلان,رشت,Bachelors,manual worker,Yes sir,Yes sir,No,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Recommended to leave,Yes sir,3 to 4 days ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,Spam,1400/02/20-17:09:42,1400/02/20-17:12:45,1400-02-20 17:09:42,1400-02-20 17:12:45,183,1400/02/20,17:09:42,1400/02/20,17:12:45
15,zstC,M,42,139,گيلان,رشت,Bachelors,manual worker,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Recommended to leave,Yes sir,3 to 4 days ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,NA,1400/02/20-17:03:26,1400/02/20-17:08:57,1400-02-20 17:03:26,1400-02-20 17:08:57,331,1400/02/20,17:03:26,1400/02/20,17:08:57
16,UxfM,M,17,140,فارس,شيراز,High School,student,Yes sir,No,Yes sir,Yes sir,No,No,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,I do not care,No,NA,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,most of the time,Yes - every day,I completely disagree,Yes sir,Asthma,I'm not a questioner,NA,NA,1400/02/20-11:06:13,1400/02/20-11:11:05,1400-02-20 11:06:13,1400-02-20 11:11:05,292,1400/02/20,11:06:13,1400/02/20,11:11:05
17,1NiI,M,37,138,تهران,تهران,Bachelors,Free,No,No,No,No,No,No,No,No,It is no different from traditional,No,I do not consume at all,Yes,--Social ugliness (ugly)---,1,Yes sir,More than three days a week,I do not care,I do not care,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,I definitely accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,most of the time,Yes - every day,I disagree,Yes sir,seasonal allergy,I'm not a questioner,NA,NA,1400/02/20-10:58:37,1400/02/20-11:08:10,1400-02-20 10:58:37,1400-02-20 11:08:10,573,1400/02/20,10:58:37,1400/02/20,11:08:10
18,V7iM,M,15,143,تهران,تهران,High School,student,Yes sir,No idea,Yes sir,Yes sir,No,Yes sir,Yes sir,No idea,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/20-09:47:48,1400/02/20-09:50:40,1400-02-20 09:47:48,1400-02-20 09:50:40,172,1400/02/20,9:47:48,1400/02/20,9:50:40
19,vJvF,M,45,120,خوزستان,اهواز,diplomas,I'm looking for a job,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Gain peace----Life pressure and stress------Mental-emotional problems-,3,1 to 10 yarns (half an envelope),0,More than an hour,the night,Evening,Yes,Other places,Out of curiosity,I agree,No,has no effect,No,No,Yes,Yes,#NAME?,1,More than three times,More than a year,More than a year ago,Smoking around,Only by personal will,High desire to consume--Excessive cough and sputum---,2,Yes,First class family,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,Always,Only when you have a cold or infection,I agree to some extent,No,NA,Yes,NA,NA,1400/02/20-04:56:47,1400/02/20-05:34:10,1400-02-20 04:56:47,1400-02-20 05:34:10,2243,1400/02/20,4:56:47,1400/02/20,5:34:10
20,XECG,M,29,140,هرمزگان,درگهان,diplomas,Free,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Recommended to leave,Yes sir,A week ago,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,Yes,مغاز,NA,1400/02/20-02:11:39,1400/02/20-02:18:25,1400-02-20 02:11:39,1400-02-20 02:18:25,406,1400/02/20,2:11:39,1400/02/20,2:18:25
21,wo0S,M,50,137,بوشهر,برازجان,No education,Employee,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health-----,1,Yes sir,Less than three days a week,Recommended to leave,Recommended to leave,Yes sir,A week ago,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,Yes sir,I do not know,Yes,NA,NA,1400/02/19-23:15:06,1400/02/19-23:19:58,1400-02-19 23:15:06,1400-02-19 23:19:58,292,1400/02/19,23:15:06,1400/02/19,23:19:58
22,9cpO,M,24,142,همدان,جورقان,diplomas,Free,No idea,No idea,No,No,No,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,I do not care,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I do not know,No,NA,I'm not a questioner,NA,NA,1400/02/19-22:02:14,1400/02/19-22:07:37,1400-02-19 22:02:14,1400-02-19 22:07:37,323,1400/02/19,22:02:14,1400/02/19,22:07:37
23,P6vi,M,39,121,تهران,تهران,diplomas,Free,No idea,No idea,No,No,Yes sir,No,Yes sir,No,"It hurts, but very little",No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Gain peace--Gain pleasure-Gain experience--------,3,11 to 20 yarns (about one envelope),5,Half an hour to an hour,the night,the night,Yes,The way to school,Out of curiosity,No idea,No,has no effect,It does not matter,No,No,Yes,#NAME?,1,once,NA,More than a year ago,other,Only by personal will,-Boredom-Excessive cough and sputum---,2,Yes,First class family,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Yes - a few days a month,I disagree,Yes sir,Bronchitis (chronic),I'm not a questioner,NA,NA,1400/02/19-21:44:48,1400/02/19-21:55:32,1400-02-19 21:44:48,1400-02-19 21:55:32,644,1400/02/19,21:44:48,1400/02/19,21:55:32
24,VEZX,M,30,140,آذربايجان غربي,ماكو,Conservatory,Free,No idea,No,No,No,No,No,Yes sir,No,It is no different from traditional,Yes,Cigarette butts,No,NA,0,Yes sir,More than three days a week,I do not care,I do not care,Yes sir,A week ago,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,I'm not a questioner,NA,NA,1400/02/19-21:41:39,1400/02/19-21:47:57,1400-02-19 21:41:39,1400-02-19 21:47:57,378,1400/02/19,21:41:39,1400/02/19,21:47:57
25,zJTA,F,32,141,تهران,تجريش,Masters,Employee,Yes sir,No,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,Hookah fan,Yes,It is harmful to my health---I am not interested--,2,No,NA,I do not care,I do not care,No,NA,No,NA,Maybe I will accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/19-20:42:54,1400/02/19-20:47:32,1400-02-19 20:42:54,1400-02-19 20:47:32,278,1400/02/19,20:42:54,1400/02/19,20:47:32
26,nSKo,M,17,140,تهران,تهران,middle,manual worker,Yes sir,Yes sir,Yes sir,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health-----,1,Yes sir,More than three days a week,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,no never,I do not know,Yes sir,Asthma,I'm not a questioner,NA,NA,1400/02/19-20:34:01,1400/02/19-20:39:16,1400-02-19 20:34:01,1400-02-19 20:39:16,315,1400/02/19,20:34:01,1400/02/19,20:39:16
27,o5b9,M,17,143,كرمان,كرمان,High School,student,Yes sir,No idea,No,No,No,No,Yes sir,No idea,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/19-19:36:26,1400/02/19-19:42:40,1400-02-19 19:36:26,1400-02-19 19:42:40,374,1400/02/19,19:36:26,1400/02/19,19:42:40
